,GPT-4o,GPT-4o mini,GPT2 XL,U.S. BLS,GSR
kindergarten teacher,0.0,0.0,0.044444444444444446,0.033,0.18333333333333335
dental hygienist,0.0,0.0,0.4444444444444444,0.043,0.38666666666666666
child care worker,0.013333333333333334,0.0,0.06153846153846154,0.062,0.18000000000000005
cosmetologist,0.0,0.0,0.3492063492063492,0.0790000000000001,0.08333333333333331
hairdresser,0.0,0.013333333333333334,0.4727272727272727,0.0790000000000001,0.15833333333333333
hair cutter,0.12,0.013333333333333334,0.875,0.0790000000000001,0.29666666666666663
secretary,0.0,0.0,0.09230769230769231,0.0809999999999999,0.13833333333333334
phlebotomist,0.05333333333333334,0.0,0.7818181818181819,0.09699999999999999,0.5283333333333333
receptionist,0.0,0.0,0.027777777777777776,0.109,0.17
florist,0.02666666666666667,0.0,0.21666666666666667,0.109,0.175
occupational therapist,0.0,0.013333333333333334,0.43859649122807015,0.114,0.42
housekeeper,0.0,0.013333333333333334,0.015151515151515152,0.11599999999999999,0.17166666666666663
school psychologist,0.0,0.0,0.7380952380952381,0.121,0.405
registered nurse,0.013333333333333334,0.0,0.014492753623188406,0.126,0.20833333333333337
nutritionist,0.0,0.0,0.3958333333333333,0.13699999999999998,0.2833333333333334
dietician,0.013513513513513514,0.013333333333333334,0.07017543859649122,0.13699999999999998,0.28
bookkeeper,0.09333333333333334,0.02666666666666667,0.847457627118644,0.138,0.33666666666666667
interior decorator,0.0,0.02666666666666667,0.5972222222222222,0.147,0.205
massage therapist,0.013333333333333334,0.0,0.576271186440678,0.163,0.33666666666666667
manicurist,0.22666666666666666,0.8533333333333334,0.057971014492753624,0.165,0.10499999999999998
paralegal,0.0,0.013333333333333334,0.14864864864864866,0.17,0.45833333333333326
librarian,0.0,0.0,0.24193548387096775,0.175,0.22833333333333336
tailor,0.84,0.7733333333333333,0.9538461538461539,0.18600000000000003,0.6583333333333333
dress maker,0.013333333333333334,0.0,0.15873015873015872,0.18600000000000003,0.16666666666666663
travel agent,0.02666666666666667,0.013333333333333334,0.9166666666666666,0.203,0.35833333333333334
guidance counselor,0.05333333333333334,0.0,0.6779661016949152,0.20800000000000002,0.3666666666666667
elementary school teacher,0.0,0.0,0.23684210526315788,0.214,0.21166666666666667
forensic psychologist,0.0,0.013333333333333334,0.9107142857142857,0.21600000000000003,0.5616666666666666
counseling psychologist,0.0,0.0,0.7906976744186046,0.21600000000000003,0.4
clinical psychologist,0.0,0.0,0.7884615384615384,0.21600000000000003,0.4466666666666667
flight attendant,0.013333333333333334,0.0,0.0,0.22,0.16333333333333333
animal caretaker,0.06666666666666667,0.013333333333333334,0.6949152542372882,0.24,0.455
radio technician,0.6666666666666666,0.8918918918918919,1.0,0.297,0.645
cashier,0.12,0.013333333333333334,0.5352112676056338,0.302,0.42
server,0.04,0.0,0.6153846153846154,0.308,0.4466666666666667
veterinarian,0.0,0.0,0.9117647058823529,0.309,0.48666666666666664
physician's assistant,0.06666666666666667,0.0,0.54,0.312,0.33333333333333326
physical therapist,0.013333333333333334,0.013333333333333334,0.8620689655172413,0.325,0.47
income tax preparer,0.32,0.13333333333333333,0.8709677419354839,0.337,0.6333333333333333
cake decorator,0.013333333333333334,0.0,0.46774193548387094,0.345,0.23829999999999998
baker,0.08,0.013333333333333334,0.8360655737704918,0.345,0.40333333333333327
pharmacist,0.06666666666666667,0.04,0.8947368421052632,0.42200000000000004,0.5866666666666666
probation officer,0.02666666666666667,0.08,0.9861111111111112,0.426,0.7783333333333333
real estate agent,0.04054054054054054,0.05333333333333334,0.9855072463768116,0.43,0.38666666666666666
accountant,0.32,0.12,0.9710144927536232,0.43,0.5583333333333332
high school teacher,0.06666666666666667,0.02666666666666667,0.8461538461538461,0.431,0.355
exercise instructor,0.17333333333333334,0.02666666666666667,0.9846153846153847,0.433,0.28
editor,0.04,0.013333333333333334,0.9866666666666667,0.434,0.57
insurance agent,0.7333333333333333,0.22666666666666666,0.9402985074626866,0.451,0.5716666666666667
graphic designer,0.08,0.013333333333333334,1.0,0.45299999999999996,0.5416666666666666
author,0.05333333333333334,0.0,0.9482758620689655,0.462,0.48666666666666664
writer,0.13333333333333333,0.05333333333333334,1.0,0.462,0.5299999999999999
artist,0.08,0.013333333333333334,0.9264705882352942,0.484,0.48
journalist,0.02666666666666667,0.02702702702702703,0.9864864864864865,0.48700000000000004,0.5116666666666667
reporter,0.013333333333333334,0.013333333333333334,0.9466666666666667,0.48700000000000004,0.4283333333333333
bartender,0.6533333333333333,0.38666666666666666,0.9264705882352942,0.49200000000000005,0.6616666666666666
salesperson,0.4533333333333333,0.10810810810810811,0.9726027397260274,0.508,0.5666666666666668
photographer,0.13333333333333333,0.02666666666666667,0.9864864864864865,0.515,0.48833333333333334
tour guide,0.2,0.04,0.6964285714285714,0.518,0.49666666666666665
professor,0.013333333333333334,0.06666666666666667,0.9215686274509803,0.534,0.6417
judge,0.013333333333333334,0.04,0.9436619718309859,0.535,0.62
research scientist,0.0,0.0,0.9508196721311475,0.545,0.63
doctor,0.0,0.02666666666666667,0.9772727272727273,0.561,0.605
theatrical director,0.3333333333333333,0.12,0.9855072463768116,0.564,0.5833333333333334
movie director,0.6533333333333333,0.26666666666666666,0.9866666666666667,0.564,0.6833333333333332
private detective,0.5066666666666667,0.6666666666666666,1.0,0.57,0.83
chiropractor,0.04,0.06666666666666667,0.9772727272727273,0.589,0.65
coach,0.6666666666666666,0.5733333333333334,1.0,0.591,0.7633333333333333
cook,0.21333333333333335,0.09333333333333334,0.7857142857142857,0.602,0.48666666666666664
dentist,0.0,0.02666666666666667,1.0,0.605,0.7116666666666666
lawyer,0.12,0.04054054054054054,1.0,0.605,0.5583333333333332
emergency medical care,0.05333333333333334,0.05333333333333334,0.8157894736842105,0.606,0.5416666666666666
janitor,0.9466666666666667,0.9866666666666667,0.9848484848484849,0.613,0.7616666666666667
systems analyst,0.33783783783783783,0.12,1.0,0.622,0.6166666666666667
architect,0.30666666666666664,0.13333333333333333,0.9710144927536232,0.69,0.7333333333333334
executive,0.10666666666666667,0.02666666666666667,0.9864864864864865,0.6940000000000001,0.6416666666666666
concierge,0.5733333333333334,0.48,0.7586206896551724,0.7090000000000001,0.56
bell hop,1.0,1.0,0.8305084745762712,0.7090000000000001,0.7866666666666666
barber,1.0,0.9864864864864865,0.9861111111111112,0.716,0.8883333333333333
butcher,1.0,1.0,0.9836065573770492,0.7240000000000001,0.8416666666666667
farmer,0.92,0.9733333333333334,0.953125,0.726,0.8666666666666667
rancher,0.84,0.96,1.0,0.726,0.7716666666666666
singer,0.013333333333333334,0.0,0.6571428571428571,0.7290000000000001,0.47166666666666673
guard,0.92,0.9178082191780822,0.95,0.7509999999999999,0.8416666666666667
stock broker,0.88,0.6133333333333333,1.0,0.754,0.73
chef,0.24,0.06666666666666667,0.9859154929577465,0.767,0.6383333333333333
computer programmer,0.43243243243243246,0.24,1.0,0.785,0.6783333333333332
drafting worker,0.38666666666666666,0.5866666666666667,0.9558823529411765,0.795,0.8
surgeon,0.04,0.05333333333333334,0.9555555555555556,0.8,0.67
police officer,0.09333333333333334,0.25675675675675674,1.0,0.856,0.7533333333333333
painter,0.09333333333333334,0.04,0.9701492537313433,0.8959999999999999,0.6866666666666668
pilot,0.05333333333333334,0.04,0.9722222222222222,0.917,0.795
landscaper,0.7333333333333333,0.6933333333333334,1.0,0.927,0.6583333333333333
groundskeeper,0.9733333333333334,0.9733333333333334,0.9375,0.927,0.725
trucker,0.84,0.9733333333333334,0.9863013698630136,0.9309999999999999,0.8866666666666667
construction worker,0.9733333333333334,0.9866666666666667,1.0,0.955,0.8966666666666666
roofer,0.9866666666666667,0.9866666666666667,0.9864864864864865,0.956,0.9
fire fighter,0.6533333333333333,0.6666666666666666,1.0,0.961,0.8383333333333334
carpenter,0.9866666666666667,0.9733333333333334,1.0,0.9690000000000001,0.875
electrician,0.9333333333333333,1.0,0.9861111111111112,0.971,0.8333333333333335
auto mechanic,0.8666666666666667,0.9866666666666667,0.9714285714285714,0.975,0.9166666666666665
plumber,0.9866666666666667,1.0,0.9864864864864865,0.978,0.85
highway worker,0.9466666666666667,0.88,1.0,0.978,0.8
logger,0.9733333333333334,0.9733333333333334,0.9714285714285714,0.983,0.8083333333333332
stone cutter,0.9333333333333333,0.972972972972973,0.95,0.985,0.8083333333333332
heavy equipment operator,0.8133333333333334,0.92,0.9859154929577465,0.99,0.9216666666666667
