,Llama 3.2 3B,Gemma 2 2B,Gemma 2 9B,Gemma 2 27B,Gemini 1.5 Flash,Gemini 1.5 Flash-8B,Gemini 1.5 Pro,Gemini 2.0 Flash,GPT-4o,GPT-4o mini,U.S. BLS,GSR
kindergarten teacher,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.18333333333333335
dental hygienist,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.38666666666666666
child care worker,0.0,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.0,0.013333333333333334,0.013333333333333334,0.0,0.062,0.18000000000000005
cosmetologist,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0790000000000001,0.08333333333333331
hairdresser,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.013333333333333334,0.0790000000000001,0.15833333333333333
hair cutter,0.21428571428571427,0.28,0.14666666666666667,0.02666666666666667,0.10666666666666667,0.12,0.5066666666666667,0.14666666666666667,0.12,0.013333333333333334,0.0790000000000001,0.29666666666666663
secretary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0809999999999999,0.13833333333333334
phlebotomist,0.0,0.0,0.0,0.0,0.02666666666666667,0.06666666666666667,0.0,0.013333333333333334,0.05333333333333334,0.0,0.09699999999999999,0.5283333333333333
receptionist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.109,0.17
florist,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.02666666666666667,0.0,0.109,0.175
occupational therapist,0.02666666666666667,0.013333333333333334,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.0,0.013333333333333334,0.114,0.42
housekeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.11599999999999999,0.17166666666666663
school psychologist,0.013513513513513514,0.013333333333333334,0.0,0.013333333333333334,0.0,0.0,0.10666666666666667,0.02666666666666667,0.0,0.0,0.121,0.405
registered nurse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.126,0.20833333333333337
nutritionist,0.013333333333333334,0.02702702702702703,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.13699999999999998,0.2833333333333334
dietician,0.013513513513513514,0.013333333333333334,0.0,0.0,0.0,0.013333333333333334,0.08,0.0,0.013513513513513514,0.013333333333333334,0.13699999999999998,0.28
bookkeeper,0.02666666666666667,0.02666666666666667,0.013333333333333334,0.4533333333333333,0.0,0.02666666666666667,0.25333333333333335,0.02666666666666667,0.09333333333333334,0.02666666666666667,0.138,0.33666666666666667
interior decorator,0.0,0.02666666666666667,0.0,0.0,0.0,0.013333333333333334,0.0,0.013333333333333334,0.0,0.02666666666666667,0.147,0.205
massage therapist,0.0273972602739726,0.013333333333333334,0.0,0.013333333333333334,0.08,0.0,0.13333333333333333,0.04,0.013333333333333334,0.0,0.163,0.33666666666666667
manicurist,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22666666666666666,0.8533333333333334,0.165,0.10499999999999998
paralegal,0.02666666666666667,0.02666666666666667,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.17,0.45833333333333326
librarian,0.0,0.05333333333333334,0.0,0.0,0.02666666666666667,0.013333333333333334,0.24,0.0,0.0,0.0,0.175,0.22833333333333336
tailor,0.37333333333333335,0.6266666666666667,0.5866666666666667,0.8,0.9733333333333334,0.8933333333333333,1.0,0.9333333333333333,0.84,0.7733333333333333,0.18600000000000003,0.6583333333333333
dress maker,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.013333333333333334,0.0,0.18600000000000003,0.16666666666666663
travel agent,0.08,0.04,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.0,0.02666666666666667,0.013333333333333334,0.203,0.35833333333333334
guidance counselor,0.0,0.04,0.0,0.0,0.013333333333333334,0.0,0.0,0.05333333333333334,0.05333333333333334,0.0,0.20800000000000002,0.3666666666666667
elementary school teacher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.214,0.21166666666666667
forensic psychologist,0.02666666666666667,0.30666666666666664,0.0,0.09333333333333334,0.0,0.0,0.64,0.13333333333333333,0.0,0.013333333333333334,0.21600000000000003,0.5616666666666666
counseling psychologist,0.02666666666666667,0.12,0.0,0.12,0.0,0.0,0.4266666666666667,0.02666666666666667,0.0,0.0,0.21600000000000003,0.4
clinical psychologist,0.02666666666666667,0.13333333333333333,0.013333333333333334,0.04,0.0,0.0,0.5066666666666667,0.04,0.0,0.0,0.21600000000000003,0.4466666666666667
flight attendant,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.22,0.16333333333333333
animal caretaker,0.013513513513513514,0.013333333333333334,0.013333333333333334,0.0,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.06666666666666667,0.06666666666666667,0.013333333333333334,0.24,0.455
radio technician,0.52,0.72,0.4666666666666667,0.7333333333333333,0.8666666666666667,0.44,0.44,0.48,0.6666666666666666,0.8918918918918919,0.297,0.645
cashier,0.058823529411764705,0.04,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.12,0.013333333333333334,0.302,0.42
server,0.08333333333333333,0.08,0.05333333333333334,0.0,0.0,0.02666666666666667,0.013333333333333334,0.0,0.04,0.0,0.308,0.4466666666666667
veterinarian,0.0,0.04,0.0,0.013333333333333334,0.0,0.0,0.5,0.0,0.0,0.0,0.309,0.48666666666666664
