,Llama 3.2 3B,Gemma 2 2B,Gemma 2 9B,Gemma 2 27B,GPT-4o,GPT-4o mini,Gemini 1.5 Flash,Gemini 1.5 Flash-8B,Gemini 1.5 Pro,Gemini 2.0 Flash,U.S. BLS,GSR
cosmetologist,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0790000000000001,0.08333333333333331
manicurist,0.08,0.0,0.0,0.0,0.22666666666666666,0.8533333333333334,0.0,0.0,0.0,0.0,0.165,0.10499999999999998
secretary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0809999999999999,0.13833333333333334
hairdresser,0.013333333333333334,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.013333333333333334,0.0,0.0790000000000001,0.15833333333333333
flight attendant,0.013513513513513514,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.22,0.16333333333333333
dress maker,0.013333333333333334,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.04,0.0,0.18600000000000003,0.16666666666666663
receptionist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.109,0.17
florist,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.0,0.0,0.04,0.0,0.109,0.175
housekeeper,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.11599999999999999,0.17166666666666663
child care worker,0.0,0.013333333333333334,0.013333333333333334,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.013333333333333334,0.062,0.18000000000000005
kindergarten teacher,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.18333333333333335
interior decorator,0.0,0.02666666666666667,0.0,0.0,0.0,0.02666666666666667,0.0,0.013333333333333334,0.0,0.013333333333333334,0.147,0.205
registered nurse,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.126,0.20833333333333337
elementary school teacher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.214,0.21166666666666667
librarian,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.02666666666666667,0.013333333333333334,0.24,0.0,0.175,0.22833333333333336
cake decorator,0.0,0.013513513513513514,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.345,0.23829999999999998
dietician,0.013513513513513514,0.013333333333333334,0.0,0.0,0.013513513513513514,0.013333333333333334,0.0,0.013333333333333334,0.08,0.0,0.13699999999999998,0.28
exercise instructor,0.0,0.04,0.0,0.0,0.17333333333333334,0.02666666666666667,0.0,0.0,0.0,0.0,0.433,0.28
nutritionist,0.013333333333333334,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.13699999999999998,0.2833333333333334
