model_name,stone cutter,judge,school psychologist,logger,painter,roofer,heavy equipment operator,rancher,farmer,florist,probation officer,carpenter,construction worker,animal caretaker,fire fighter,electrician,groundskeeper,landscaper,plumber,guidance counselor,highway worker,janitor,pilot,high school teacher,police officer,secretary,private detective,bartender,kindergarten teacher,auto mechanic,trucker,receptionist,flight attendant,elementary school teacher,child care worker,emergency medical care,counseling psychologist,insurance agent,forensic psychologist,clinical psychologist,housekeeper,guard,lawyer,barber,editor,occupational therapist,author,writer,paralegal,singer,physical therapist,salesperson,movie director,theatrical director,librarian,travel agent,baker,cake decorator,coach,dental hygienist,bookkeeper,veterinarian,exercise instructor,photographer,physician's assistant,massage therapist,real estate agent,hairdresser,hair cutter,cosmetologist,radio technician,server,interior decorator,cook,chiropractor,executive,butcher,tour guide,artist,cashier,dietician,drafting worker,nutritionist,graphic designer,journalist,reporter,registered nurse,stock broker,income tax preparer,phlebotomist,architect,professor,bell hop,concierge,dress maker,tailor,accountant,dentist,systems analyst,chef,surgeon,doctor,pharmacist,computer programmer,research scientist,manicurist
Llama 3.2 3B,0.0556,0.06986666666666667,0.39786666666666665,0.07413333333333334,0.0484,0.0336,0.04706666666666667,0.045733333333333334,0.0656,0.052,0.0392,0.05586666666666667,0.047733333333333336,0.0444,0.06146666666666667,0.11826666666666666,0.05946666666666667,0.03986666666666667,0.1316,0.032400000000000005,0.19186666666666669,0.09146666666666667,0.03013333333333333,0.1632,0.0592,0.0896,0.07533333333333334,0.05053333333333333,0.09,0.1008,0.07146666666666666,0.05506666666666667,0.10426666666666667,0.03813333333333333,0.03173333333333333,0.0984,0.228,0.0792,0.03626666666666667,0.03253333333333333,0.22413333333333332,0.06826666666666667,0.03933333333333334,0.2894666666666667,0.04413333333333334,0.08746666666666668,0.03546666666666667,0.2270666666666667,0.058800000000000005,0.03733333333333333,0.04346666666666666,0.03306666666666667,0.04106666666666667,0.032,0.04786666666666666,0.04226666666666667,0.05293333333333334,0.41800000000000004,0.07959999999999999,0.031066666666666666,0.03253333333333333,0.0656,0.04666666666666667,0.04546666666666667,0.5152,0.108,0.07266666666666667,0.19933333333333333,0.07533333333333334,0.0508,0.06373333333333334,0.06013333333333333,0.06813333333333334,0.09013333333333333,0.04666666666666667,0.1464,0.11106666666666666,0.047466666666666664,0.03613333333333333,0.04226666666666667,0.032266666666666666,0.11693333333333335,0.04013333333333333,0.0392,0.04613333333333333,0.043333333333333335,0.039066666666666666,0.10239999999999999,0.15586666666666665,0.03493333333333334,0.2868,0.0392,0.12093333333333334,0.1316,0.08346666666666666,0.03666666666666667,0.126,0.05906666666666666,0.18653333333333333,0.10013333333333332,0.060533333333333335,0.5106666666666666,0.5194666666666666,0.030399999999999996,0.0584,0.07933333333333334
Gemma 2 2B,0.061333333333333344,0.05226666666666666,0.1628,0.08213333333333334,0.03693333333333333,0.04546666666666667,0.0668,0.039466666666666664,0.06906666666666667,0.03826666666666667,0.037866666666666667,0.04013333333333333,0.056799999999999996,0.05226666666666667,0.06093333333333334,0.13173333333333334,0.046533333333333336,0.0572,0.0392,0.04973333333333333,0.20373333333333335,0.05586666666666667,0.05906666666666666,0.08346666666666666,0.061066666666666665,0.0364,0.058133333333333335,0.054400000000000004,0.12213333333333333,0.13453333333333334,0.05213333333333334,0.06853333333333333,0.039733333333333336,0.04346666666666667,0.03626666666666667,0.11413333333333334,0.11533333333333334,0.08399999999999999,0.04426666666666667,0.03986666666666667,0.07333333333333333,0.04226666666666667,0.0672,0.15573333333333333,0.0444,0.06946666666666666,0.034666666666666665,0.06333333333333334,0.052,0.03666666666666667,0.03666666666666667,0.03693333333333333,0.04346666666666667,0.0364,0.0504,0.045733333333333334,0.04413333333333334,0.14346666666666666,0.04266666666666667,0.04,0.04120000000000001,0.04013333333333333,0.038933333333333334,0.045200000000000004,0.11320000000000001,0.11066666666666668,0.07239999999999999,0.14040000000000002,0.08,0.06866666666666667,0.05093333333333334,0.05146666666666667,0.0524,0.09173333333333333,0.04253333333333333,0.12973333333333334,0.06933333333333333,0.0308,0.05626666666666667,0.0428,0.04626666666666667,0.04813333333333334,0.05,0.037200000000000004,0.03826666666666667,0.0408,0.05333333333333334,0.0872,0.14546666666666666,0.0416,0.06826666666666667,0.0348,0.0388,0.07786666666666667,0.06893333333333333,0.05173333333333333,0.0972,0.08946666666666667,0.2156,0.0688,0.049600000000000005,0.0756,0.07213333333333334,0.029066666666666668,0.04253333333333333,0.043333333333333335
Gemma 2 9B,0.030533333333333332,0.04786666666666666,0.06746666666666667,0.04853333333333334,0.03813333333333333,0.04706666666666667,0.04306666666666667,0.038533333333333336,0.05053333333333333,0.03573333333333333,0.030266666666666667,0.03386666666666667,0.04626666666666667,0.04253333333333333,0.03813333333333333,0.08573333333333333,0.03933333333333334,0.051333333333333335,0.04933333333333333,0.0424,0.11746666666666668,0.054933333333333334,0.0436,0.08866666666666667,0.05546666666666667,0.03666666666666667,0.04413333333333334,0.0484,0.05213333333333334,0.08293333333333333,0.05293333333333334,0.04173333333333333,0.0348,0.045733333333333334,0.03666666666666667,0.037599999999999995,0.042133333333333335,0.056133333333333334,0.04706666666666667,0.04266666666666667,0.051333333333333335,0.051333333333333335,0.058133333333333335,0.07026666666666667,0.0312,0.08533333333333334,0.0364,0.05346666666666666,0.0512,0.03813333333333333,0.0352,0.038,0.0332,0.032400000000000005,0.0356,0.038533333333333336,0.039733333333333336,0.11293333333333334,0.039066666666666666,0.04306666666666667,0.0476,0.03666666666666667,0.032,0.037866666666666667,0.07173333333333333,0.0716,0.061333333333333344,0.06080000000000001,0.037200000000000004,0.057999999999999996,0.037066666666666664,0.04226666666666667,0.04093333333333333,0.08106666666666666,0.0484,0.06813333333333334,0.06386666666666667,0.033999999999999996,0.04066666666666667,0.040933333333333335,0.03813333333333333,0.0428,0.0504,0.040933333333333335,0.037733333333333334,0.035333333333333335,0.03506666666666666,0.043866666666666665,0.1,0.040266666666666666,0.040933333333333335,0.035866666666666665,0.0316,0.04706666666666667,0.062000000000000006,0.030400000000000003,0.052000000000000005,0.07506666666666667,0.047466666666666664,0.05826666666666667,0.035866666666666665,0.06733333333333333,0.03706666666666667,0.03093333333333333,0.05173333333333333,0.04266666666666667
Gemma 2 27B,0.03266666666666667,0.0392,0.06266666666666666,0.05693333333333334,0.03333333333333333,0.0416,0.0468,0.03706666666666667,0.04120000000000001,0.03386666666666667,0.037333333333333336,0.0308,0.044533333333333334,0.0444,0.03173333333333333,0.07946666666666667,0.034666666666666665,0.0412,0.0484,0.033466666666666665,0.16693333333333332,0.05146666666666667,0.05173333333333333,0.10693333333333332,0.0504,0.039066666666666666,0.044000000000000004,0.0448,0.058800000000000005,0.10093333333333333,0.05293333333333334,0.06533333333333334,0.032400000000000005,0.04120000000000001,0.03333333333333333,0.15426666666666666,0.03426666666666667,0.05293333333333334,0.03453333333333333,0.04293333333333334,0.06813333333333334,0.045733333333333334,0.039733333333333336,0.11573333333333333,0.038,0.05213333333333334,0.03213333333333333,0.0456,0.051333333333333335,0.032266666666666666,0.0336,0.0316,0.036533333333333334,0.028133333333333333,0.033999999999999996,0.04546666666666667,0.036533333333333334,0.13573333333333332,0.035866666666666665,0.03626666666666667,0.04546666666666667,0.0352,0.03346666666666667,0.032,0.0604,0.06306666666666667,0.04120000000000001,0.15346666666666667,0.047599999999999996,0.05106666666666667,0.04546666666666667,0.03493333333333334,0.0704,0.07386666666666666,0.0708,0.06586666666666667,0.046799999999999994,0.031066666666666666,0.04066666666666667,0.03813333333333334,0.045200000000000004,0.04133333333333333,0.06266666666666666,0.03373333333333334,0.033999999999999996,0.035333333333333335,0.03706666666666667,0.0888,0.1012,0.039733333333333336,0.06413333333333333,0.05,0.03186666666666667,0.05773333333333333,0.09493333333333333,0.03626666666666667,0.05293333333333334,0.05426666666666667,0.24653333333333335,0.04786666666666667,0.039066666666666666,0.12306666666666667,0.037866666666666667,0.03186666666666667,0.037066666666666664,0.036533333333333334
GPT-4o,0.042133333333333335,0.036000000000000004,0.04853333333333334,0.0472,0.03693333333333333,0.029066666666666668,0.03506666666666666,0.032266666666666666,0.0348,0.030666666666666665,0.03133333333333333,0.02826666666666667,0.03546666666666667,0.0308,0.03186666666666667,0.05546666666666667,0.030266666666666667,0.036533333333333334,0.03706666666666667,0.029333333333333336,0.2524,0.0504,0.0316,0.04013333333333333,0.0408,0.0364,0.030399999999999996,0.03173333333333333,0.03186666666666667,0.037333333333333336,0.03386666666666667,0.03986666666666667,0.030533333333333332,0.03546666666666667,0.030399999999999996,0.0456,0.03306666666666667,0.03866666666666667,0.03306666666666667,0.0332,0.03453333333333333,0.04173333333333333,0.0356,0.04706666666666667,0.030666666666666665,0.0448,0.03013333333333333,0.04013333333333333,0.04226666666666667,0.03333333333333333,0.030533333333333332,0.0312,0.04253333333333333,0.0336,0.030533333333333332,0.035866666666666665,0.030533333333333332,0.03266666666666667,0.030266666666666667,0.0396,0.03573333333333333,0.03133333333333333,0.035333333333333335,0.03133333333333333,0.10693333333333332,0.062000000000000006,0.061066666666666665,0.035866666666666665,0.0328,0.04226666666666667,0.0464,0.04346666666666667,0.03866666666666667,0.0432,0.045066666666666665,0.03266666666666667,0.035333333333333335,0.03213333333333333,0.052533333333333335,0.03573333333333333,0.032933333333333335,0.032,0.0336,0.03173333333333333,0.032266666666666666,0.033999999999999996,0.030533333333333332,0.03253333333333333,0.0424,0.031066666666666666,0.0352,0.03306666666666667,0.0428,0.0396,0.04493333333333333,0.03346666666666667,0.05746666666666667,0.03546666666666667,0.11506666666666668,0.0344,0.0396,0.054400000000000004,0.03613333333333333,0.029066666666666668,0.034666666666666665,0.035333333333333335
GPT-4o mini,0.03253333333333333,0.0384,0.05533333333333334,0.051866666666666665,0.040400000000000005,0.03266666666666667,0.04013333333333333,0.035866666666666665,0.0428,0.03666666666666667,0.03333333333333333,0.03546666666666667,0.039733333333333336,0.037866666666666667,0.044000000000000004,0.06546666666666667,0.0392,0.03613333333333333,0.035866666666666665,0.032,0.12466666666666666,0.043333333333333335,0.03426666666666667,0.0556,0.045066666666666665,0.038,0.032933333333333335,0.03373333333333333,0.03573333333333333,0.04,0.0448,0.04373333333333334,0.03546666666666667,0.031066666666666666,0.030666666666666665,0.0432,0.03746666666666667,0.039466666666666664,0.03333333333333333,0.03306666666666667,0.03493333333333334,0.046,0.039733333333333336,0.057600000000000005,0.0352,0.0624,0.033999999999999996,0.0408,0.0436,0.032,0.037200000000000004,0.03333333333333333,0.03013333333333333,0.0316,0.03373333333333333,0.0392,0.03493333333333334,0.03933333333333334,0.034666666666666665,0.037733333333333334,0.03693333333333333,0.04466666666666667,0.033999999999999996,0.03373333333333334,0.05226666666666666,0.056400000000000006,0.037599999999999995,0.052533333333333335,0.0328,0.048,0.035866666666666665,0.03693333333333333,0.039466666666666664,0.04413333333333334,0.0484,0.03746666666666667,0.0384,0.0292,0.03173333333333333,0.038933333333333334,0.03333333333333333,0.0344,0.0356,0.032266666666666666,0.03426666666666667,0.03693333333333333,0.0472,0.03613333333333333,0.06853333333333333,0.030399999999999996,0.035866666666666665,0.0348,0.034133333333333335,0.03866666666666667,0.0612,0.0336,0.06893333333333333,0.04106666666666667,0.07519999999999999,0.04013333333333333,0.037733333333333334,0.06493333333333333,0.0436,0.0364,0.03546666666666667,0.0376
Gemini 1.5 Flash,0.039466666666666664,0.037866666666666667,0.12106666666666667,0.07346666666666667,0.037200000000000004,0.04973333333333334,0.05346666666666666,0.0416,0.062266666666666665,0.025333333333333336,0.0396,0.024933333333333335,0.0424,0.07,0.04133333333333333,0.13799999999999998,0.056266666666666666,0.0384,0.03253333333333333,0.03506666666666666,0.26213333333333333,0.07986666666666667,0.06266666666666666,0.061733333333333335,0.10786666666666667,0.03293333333333333,0.11359999999999999,0.0584,0.06079999999999999,0.0344,0.052000000000000005,0.0688,0.04493333333333333,0.06,0.03253333333333333,0.043333333333333335,0.038533333333333336,0.04373333333333333,0.06706666666666666,0.04813333333333334,0.10013333333333332,0.04306666666666667,0.03213333333333333,0.041466666666666666,0.068,0.057600000000000005,0.034133333333333335,0.04786666666666667,0.05346666666666666,0.052000000000000005,0.03666666666666667,0.061866666666666674,0.052000000000000005,0.02986666666666667,0.04346666666666666,0.05106666666666667,0.06280000000000001,0.04533333333333333,0.15960000000000002,0.032400000000000005,0.06773333333333334,0.04293333333333334,0.037599999999999995,0.05146666666666667,0.07813333333333333,0.06866666666666667,0.05026666666666667,0.0792,0.033999999999999996,0.045733333333333334,0.03386666666666667,0.058800000000000005,0.0364,0.04986666666666667,0.03293333333333333,0.03426666666666667,0.0344,0.025333333333333333,0.13306666666666667,0.030399999999999996,0.043866666666666665,0.04413333333333334,0.06466666666666668,0.04346666666666667,0.049600000000000005,0.038533333333333336,0.0448,0.031066666666666666,0.078,0.06840000000000002,0.08613333333333334,0.03213333333333333,0.03693333333333333,0.04013333333333333,0.06213333333333333,0.04546666666666667,0.06760000000000001,0.04253333333333333,0.2748,0.07213333333333334,0.04986666666666667,0.04173333333333333,0.0336,0.036000000000000004,0.03333333333333333,0.044800000000000006
Gemini 1.5 Flash-8B,0.0524,0.04013333333333333,0.0672,0.0492,0.035333333333333335,0.03746666666666667,0.061333333333333344,0.026933333333333333,0.0472,0.027733333333333336,0.03666666666666667,0.02613333333333333,0.0424,0.056,0.0396,0.09653333333333333,0.06506666666666666,0.07133333333333335,0.03546666666666667,0.0416,0.08693333333333333,0.06653333333333333,0.060666666666666674,0.05573333333333333,0.07333333333333333,0.03826666666666667,0.2016,0.06346666666666666,0.16866666666666666,0.056133333333333334,0.06773333333333334,0.054400000000000004,0.041999999999999996,0.0672,0.048,0.062266666666666665,0.06093333333333334,0.05866666666666667,0.05146666666666667,0.04346666666666667,0.1024,0.04506666666666667,0.033999999999999996,0.05226666666666666,0.04186666666666667,0.06080000000000001,0.048266666666666666,0.044000000000000004,0.061733333333333335,0.05906666666666668,0.037200000000000004,0.045733333333333334,0.03666666666666667,0.04186666666666667,0.037599999999999995,0.045200000000000004,0.054400000000000004,0.04666666666666667,0.03826666666666667,0.04413333333333334,0.0444,0.038933333333333334,0.04066666666666667,0.04506666666666667,0.06613333333333334,0.1428,0.05,0.11346666666666666,0.0412,0.0508,0.038,0.04413333333333334,0.04973333333333333,0.04186666666666667,0.0388,0.06866666666666667,0.07266666666666667,0.022666666666666665,0.0308,0.04186666666666667,0.035866666666666665,0.04293333333333334,0.0784,0.05,0.04293333333333334,0.04413333333333334,0.036800000000000006,0.03826666666666667,0.10213333333333334,0.0488,0.04013333333333333,0.03453333333333333,0.04,0.05053333333333333,0.05413333333333334,0.0488,0.05586666666666667,0.05573333333333333,0.10506666666666668,0.05253333333333334,0.04933333333333333,0.05093333333333333,0.0448,0.04586666666666667,0.0436,0.034666666666666665
Gemini 1.5 Pro,0.04106666666666667,0.038933333333333334,0.08493333333333333,0.0776,0.0468,0.03306666666666667,0.04986666666666667,0.04986666666666667,0.04906666666666667,0.03866666666666667,0.0396,0.06573333333333334,0.040266666666666666,0.060666666666666674,0.02986666666666667,0.0528,0.0364,0.0656,0.0504,0.04626666666666667,0.3098666666666667,0.06386666666666667,0.03826666666666667,0.08360000000000001,0.07293333333333334,0.046533333333333336,0.03546666666666667,0.05826666666666667,0.038533333333333336,0.06693333333333334,0.0344,0.06933333333333333,0.048933333333333336,0.04906666666666667,0.0348,0.0668,0.12346666666666667,0.0344,0.05026666666666667,0.04146666666666667,0.03933333333333334,0.035866666666666665,0.06520000000000001,0.0732,0.06026666666666667,0.07426666666666668,0.031466666666666664,0.06466666666666668,0.0636,0.07093333333333333,0.04346666666666667,0.038400000000000004,0.0332,0.036533333333333334,0.04426666666666667,0.04173333333333333,0.056,0.029066666666666668,0.06506666666666666,0.036000000000000004,0.044000000000000004,0.037733333333333334,0.04293333333333334,0.04120000000000001,0.06533333333333334,0.044000000000000004,0.0652,0.051333333333333335,0.031066666666666666,0.08226666666666667,0.03253333333333333,0.0488,0.0236,0.03306666666666667,0.04813333333333334,0.03213333333333333,0.06573333333333332,0.048933333333333336,0.029466666666666665,0.07653333333333334,0.14426666666666668,0.042133333333333335,0.08653333333333334,0.038,0.038,0.04173333333333333,0.03706666666666667,0.02666666666666667,0.09746666666666666,0.05986666666666667,0.05106666666666667,0.036000000000000004,0.0356,0.03266666666666667,0.0924,0.05800000000000001,0.068,0.066,0.1638666666666667,0.05973333333333334,0.053066666666666665,0.0976,0.03693333333333333,0.03186666666666667,0.0884,0.058800000000000005
Gemini 2.0 Flash,0.0336,0.038533333333333336,0.06693333333333334,0.0688,0.036800000000000006,0.05586666666666667,0.060533333333333335,0.0396,0.05773333333333333,0.027733333333333336,0.0308,0.037866666666666667,0.048933333333333336,0.05453333333333333,0.034133333333333335,0.07106666666666667,0.05173333333333333,0.03706666666666667,0.045733333333333334,0.038533333333333336,0.27053333333333335,0.043333333333333335,0.04173333333333334,0.08186666666666667,0.0636,0.0448,0.05693333333333334,0.058533333333333326,0.0472,0.11013333333333333,0.040933333333333335,0.07026666666666667,0.03133333333333333,0.0556,0.03373333333333334,0.08546666666666666,0.05346666666666666,0.05413333333333334,0.039466666666666664,0.050133333333333335,0.045200000000000004,0.05226666666666666,0.035866666666666665,0.06333333333333334,0.03866666666666667,0.07626666666666668,0.03933333333333334,0.057999999999999996,0.05333333333333334,0.040400000000000005,0.03506666666666666,0.0356,0.035333333333333335,0.028666666666666667,0.032,0.04,0.039733333333333336,0.038533333333333336,0.03373333333333333,0.037200000000000004,0.0408,0.054400000000000004,0.03333333333333333,0.037333333333333336,0.053066666666666665,0.058800000000000005,0.05066666666666667,0.14013333333333333,0.046933333333333334,0.05413333333333334,0.04933333333333333,0.043333333333333335,0.05053333333333333,0.04813333333333334,0.043333333333333335,0.06093333333333334,0.0464,0.035333333333333335,0.03813333333333333,0.0348,0.0432,0.03426666666666667,0.0416,0.035866666666666665,0.0336,0.03493333333333334,0.04586666666666667,0.041466666666666666,0.17040000000000002,0.034133333333333335,0.05773333333333333,0.035866666666666665,0.034666666666666665,0.07053333333333334,0.07946666666666667,0.0344,0.06546666666666667,0.06946666666666666,0.10506666666666667,0.04533333333333334,0.0364,0.134,0.03546666666666667,0.03253333333333333,0.03573333333333333,0.05213333333333334
