model_name,chiropractor,surgeon,school psychologist,occupational therapist,lawyer,pharmacist,physical therapist,executive,farmer,rancher,doctor,editor,physician's assistant,research scientist,professor,veterinarian,dentist,accountant,drafting worker,registered nurse,author,writer,tour guide,systems analyst,high school teacher,interior decorator,computer programmer,photographer,private detective,forensic psychologist,clinical psychologist,pilot,counseling psychologist,singer,theatrical director,movie director,elementary school teacher,librarian,real estate agent,judge,architect,artist,stock broker,dental hygienist,massage therapist,radio technician,graphic designer,logger,manicurist,guidance counselor,coach,dietician,nutritionist,secretary,reporter,journalist,bookkeeper,probation officer,travel agent,animal caretaker,kindergarten teacher,emergency medical care,fire fighter,police officer,exercise instructor,paralegal,income tax preparer,cosmetologist,hairdresser,hair cutter,insurance agent,salesperson,phlebotomist,flight attendant,guard,chef,heavy equipment operator,highway worker,bartender,receptionist,cashier,trucker,electrician,server,child care worker,florist,plumber,tailor,dress maker,auto mechanic,bell hop,concierge,janitor,butcher,cake decorator,baker,barber,cook,carpenter,landscaper,groundskeeper,stone cutter,housekeeper,construction worker,painter,roofer
Llama 3.2 3B,0.06146666666666667,0.06666666666666667,0.1856,0.14146666666666668,0.09173333333333333,0.10186666666666667,0.06013333333333333,0.1536,0.07800000000000001,0.09253333333333334,0.06386666666666667,0.058533333333333326,0.06506666666666666,0.053200000000000004,0.1212,0.13346666666666665,0.0604,0.061333333333333344,0.146,0.04466666666666667,0.06573333333333332,0.0832,0.0952,0.12613333333333335,0.1368,0.16693333333333332,0.24440000000000003,0.10386666666666666,0.22533333333333336,0.19573333333333334,0.0572,0.0788,0.08146666666666667,0.08613333333333334,0.045066666666666665,0.13720000000000002,0.04053333333333333,0.1048,0.04586666666666667,0.05573333333333333,0.13133333333333333,0.05826666666666667,0.16053333333333333,0.05959999999999999,0.06786666666666666,0.07853333333333334,0.05893333333333333,0.08386666666666667,0.0828,0.05946666666666667,0.0472,0.057999999999999996,0.1008,0.046533333333333336,0.05146666666666667,0.052,0.17186666666666667,0.06893333333333333,0.11066666666666668,0.04186666666666667,0.10693333333333332,0.09453333333333333,0.06346666666666666,0.0436,0.07413333333333334,0.07773333333333333,0.15093333333333334,0.19293333333333335,0.1396,0.1356,0.09186666666666668,0.10840000000000001,0.14466666666666667,0.08026666666666667,0.10746666666666667,0.3568,0.05,0.06973333333333334,0.1232,0.12359999999999999,0.12200000000000001,0.18666666666666668,0.08173333333333334,0.048266666666666666,0.05146666666666667,0.04253333333333333,0.05693333333333334,0.10666666666666667,0.4182666666666667,0.045066666666666665,0.06626666666666667,0.1148,0.037866666666666667,0.08866666666666667,0.08226666666666667,0.054400000000000004,0.05746666666666667,0.13973333333333335,0.11773333333333333,0.094,0.13013333333333332,0.12533333333333332,0.04226666666666667,0.04173333333333333,0.14453333333333332,0.08746666666666668
Gemma 2 2B,0.04626666666666667,0.0824,0.07506666666666667,0.11106666666666666,0.05546666666666667,0.11653333333333334,0.07946666666666667,0.062000000000000006,0.0776,0.057999999999999996,0.057866666666666663,0.056400000000000006,0.06653333333333333,0.08573333333333334,0.12933333333333333,0.11386666666666669,0.0716,0.064,0.04733333333333334,0.15613333333333335,0.08946666666666667,0.07693333333333334,0.11719999999999998,0.15226666666666666,0.14986666666666668,0.05053333333333333,0.09786666666666667,0.062266666666666665,0.08026666666666667,0.06413333333333333,0.0812,0.11586666666666666,0.049466666666666666,0.0732,0.05106666666666667,0.2056,0.054,0.146,0.06866666666666667,0.0972,0.07506666666666667,0.0784,0.0656,0.152,0.05973333333333334,0.07853333333333334,0.05466666666666666,0.13146666666666665,0.18973333333333334,0.07013333333333333,0.06546666666666667,0.07866666666666668,0.06613333333333334,0.13533333333333333,0.0592,0.06960000000000001,0.0916,0.11213333333333333,0.05733333333333333,0.052533333333333335,0.057600000000000005,0.04933333333333333,0.049466666666666666,0.061333333333333344,0.22493333333333335,0.12400000000000001,0.12,0.09293333333333333,0.08693333333333333,0.0956,0.056400000000000006,0.05826666666666667,0.09573333333333334,0.13613333333333336,0.08613333333333334,0.15386666666666665,0.05986666666666667,0.04853333333333334,0.14573333333333333,0.048933333333333336,0.07186666666666668,0.05586666666666667,0.0752,0.04973333333333333,0.0552,0.06760000000000001,0.10613333333333333,0.07146666666666666,0.06386666666666667,0.0668,0.06613333333333334,0.0456,0.0468,0.1148,0.11106666666666666,0.04973333333333333,0.09053333333333334,0.07226666666666666,0.05986666666666667,0.09453333333333333,0.08506666666666667,0.11693333333333333,0.11693333333333333,0.03866666666666667,0.05093333333333334,0.06266666666666666
Gemma 2 9B,0.037066666666666664,0.049466666666666666,0.1252,0.06826666666666667,0.0432,0.152,0.058800000000000005,0.0836,0.068,0.06546666666666667,0.0368,0.048133333333333334,0.060533333333333335,0.061333333333333344,0.057600000000000005,0.17573333333333332,0.0468,0.04586666666666667,0.0492,0.04933333333333333,0.060533333333333335,0.056266666666666666,0.11493333333333335,0.1256,0.1556,0.05066666666666667,0.07013333333333333,0.0436,0.05906666666666666,0.048666666666666664,0.05946666666666667,0.07986666666666667,0.0408,0.08533333333333334,0.04253333333333333,0.19133333333333333,0.040266666666666666,0.13853333333333334,0.056400000000000006,0.14946666666666666,0.08600000000000001,0.05533333333333334,0.04306666666666667,0.08813333333333334,0.0384,0.08746666666666668,0.04253333333333333,0.09906666666666666,0.08226666666666667,0.11186666666666667,0.04253333333333333,0.08533333333333334,0.04066666666666666,0.0396,0.062266666666666665,0.04986666666666667,0.06426666666666667,0.17506666666666668,0.09906666666666666,0.047466666666666664,0.0704,0.041466666666666666,0.038,0.05173333333333334,0.18053333333333335,0.06013333333333333,0.1452,0.07826666666666666,0.044000000000000004,0.06453333333333333,0.06626666666666667,0.04706666666666667,0.1188,0.10200000000000001,0.05426666666666667,0.08986666666666666,0.09213333333333333,0.04053333333333333,0.21786666666666665,0.05146666666666667,0.09413333333333335,0.05053333333333333,0.056,0.05986666666666667,0.08706666666666667,0.0492,0.11933333333333332,0.08773333333333333,0.08786666666666666,0.1052,0.07013333333333333,0.04373333333333334,0.047599999999999996,0.13813333333333336,0.12213333333333333,0.038533333333333336,0.06826666666666667,0.046,0.0432,0.07453333333333333,0.04546666666666667,0.11106666666666666,0.0712,0.041466666666666666,0.045200000000000004,0.044000000000000004
Gemma 2 27B,0.044533333333333334,0.09493333333333333,0.07959999999999999,0.11720000000000001,0.04093333333333333,0.38253333333333334,0.07173333333333333,0.14266666666666666,0.06813333333333334,0.06506666666666666,0.049600000000000005,0.0332,0.08133333333333334,0.06266666666666666,0.12053333333333334,0.17813333333333334,0.15373333333333336,0.076,0.056,0.19413333333333335,0.08133333333333333,0.07333333333333333,0.19493333333333335,0.2697333333333333,0.2670666666666667,0.05146666666666667,0.16666666666666666,0.06826666666666667,0.07640000000000001,0.07360000000000001,0.1052,0.08399999999999999,0.04626666666666667,0.06253333333333334,0.0388,0.3817333333333333,0.0364,0.6217333333333334,0.049466666666666666,0.21760000000000002,0.1732,0.0632,0.054400000000000004,0.0924,0.052533333333333335,0.060533333333333335,0.05506666666666667,0.13453333333333334,0.202,0.046533333333333336,0.04053333333333333,0.1184,0.06426666666666667,0.09973333333333334,0.04106666666666667,0.057866666666666663,0.07533333333333334,0.0892,0.05426666666666667,0.054,0.10360000000000001,0.04493333333333333,0.044,0.04173333333333333,0.4048,0.08626666666666666,0.15053333333333335,0.12359999999999999,0.09706666666666668,0.1004,0.0812,0.0424,0.24373333333333336,0.07546666666666667,0.10693333333333332,0.27746666666666664,0.18986666666666666,0.06373333333333334,0.3304,0.06946666666666666,0.1408,0.047466666666666664,0.11,0.08506666666666667,0.10666666666666667,0.09626666666666667,0.09053333333333334,0.12106666666666667,0.0572,0.10919999999999999,0.1624,0.048266666666666666,0.0508,0.21080000000000002,0.10506666666666667,0.043333333333333335,0.07360000000000001,0.0684,0.05173333333333333,0.08786666666666666,0.11,0.23213333333333333,0.13666666666666666,0.057866666666666663,0.04546666666666667,0.05346666666666666
GPT-4o,0.04053333333333333,0.052,0.09293333333333334,0.08506666666666667,0.05053333333333333,0.04093333333333333,0.049466666666666666,0.08066666666666666,0.056666666666666664,0.04293333333333334,0.03933333333333334,0.036000000000000004,0.05506666666666667,0.044,0.0592,0.16853333333333334,0.08226666666666667,0.06520000000000001,0.08106666666666666,0.04013333333333333,0.12133333333333333,0.07346666666666667,0.10506666666666667,0.11653333333333334,0.2324,0.07333333333333333,0.07573333333333333,0.04626666666666667,0.10720000000000002,0.1024,0.043333333333333335,0.07146666666666666,0.0416,0.04066666666666667,0.0412,0.1424,0.0592,0.16613333333333336,0.03933333333333334,0.0716,0.14106666666666667,0.05746666666666667,0.0708,0.09053333333333334,0.03933333333333334,0.05853333333333334,0.05693333333333334,0.1052,0.1308,0.053733333333333334,0.0432,0.06079999999999999,0.057600000000000005,0.05453333333333333,0.04053333333333333,0.06253333333333334,0.060533333333333335,0.06520000000000001,0.03986666666666666,0.03933333333333334,0.04906666666666667,0.04426666666666666,0.050133333333333335,0.039466666666666664,0.3257333333333333,0.08986666666666666,0.10720000000000002,0.09306666666666667,0.05453333333333333,0.0732,0.11306666666666668,0.04786666666666667,0.10413333333333334,0.09053333333333334,0.08813333333333334,0.057600000000000005,0.0704,0.041999999999999996,0.24866666666666665,0.058133333333333335,0.10840000000000001,0.045200000000000004,0.058533333333333326,0.043866666666666665,0.076,0.056133333333333334,0.0416,0.0584,0.11093333333333334,0.0396,0.05173333333333334,0.07440000000000001,0.04186666666666667,0.09013333333333333,0.10666666666666667,0.039733333333333336,0.0476,0.1052,0.07146666666666666,0.06013333333333333,0.0492,0.1996,0.11093333333333334,0.038,0.07213333333333334,0.053066666666666665
GPT-4o mini,0.0512,0.05773333333333333,0.1144,0.13173333333333334,0.048266666666666666,0.09053333333333334,0.058133333333333335,0.10360000000000001,0.07786666666666667,0.05293333333333334,0.04106666666666667,0.046533333333333336,0.05706666666666667,0.0472,0.0684,0.182,0.05826666666666667,0.057866666666666663,0.0508,0.04266666666666667,0.06866666666666667,0.09053333333333334,0.19840000000000002,0.11373333333333333,0.1736,0.054933333333333334,0.05973333333333334,0.05426666666666667,0.06826666666666667,0.06946666666666666,0.05053333333333333,0.06893333333333333,0.056666666666666664,0.044533333333333334,0.039733333333333336,0.13626666666666667,0.07586666666666667,0.07186666666666668,0.039733333333333336,0.07200000000000001,0.1008,0.06666666666666667,0.0548,0.0852,0.048,0.0644,0.048666666666666664,0.07653333333333334,0.09066666666666666,0.053066666666666665,0.05,0.06,0.04546666666666667,0.04346666666666667,0.04906666666666667,0.06493333333333333,0.07693333333333334,0.06253333333333334,0.04186666666666667,0.053066666666666665,0.04293333333333334,0.07360000000000001,0.0388,0.04853333333333334,0.09893333333333333,0.08600000000000001,0.076,0.06253333333333334,0.0552,0.11253333333333333,0.09933333333333333,0.09453333333333333,0.1224,0.08399999999999999,0.05746666666666667,0.0728,0.07666666666666666,0.038933333333333334,0.1104,0.06760000000000001,0.0604,0.04186666666666667,0.0488,0.053066666666666665,0.07413333333333334,0.051333333333333335,0.0988,0.05573333333333333,0.08,0.03813333333333333,0.07666666666666666,0.049466666666666666,0.04413333333333334,0.11053333333333334,0.08853333333333334,0.044000000000000004,0.056133333333333334,0.11906666666666667,0.10880000000000001,0.049466666666666666,0.052533333333333335,0.18066666666666667,0.1148,0.0428,0.056133333333333334,0.0484
Gemini 1.5 Flash,0.17733333333333334,0.17586666666666667,0.4056,0.061733333333333335,0.04066666666666667,0.41186666666666666,0.061066666666666665,0.0512,0.1044,0.03293333333333333,0.054,0.033466666666666665,0.061333333333333344,0.1,0.4808,0.24733333333333335,0.1052,0.06586666666666667,0.04253333333333333,0.6176,0.082,0.13346666666666665,0.23520000000000002,0.2812,0.2916,0.04226666666666667,0.1676,0.04493333333333333,0.11106666666666666,0.054666666666666676,0.16866666666666666,0.09213333333333333,0.07426666666666668,0.28400000000000003,0.04226666666666667,0.46080000000000004,0.1432,0.5861333333333334,0.09533333333333334,0.1568,0.19853333333333334,0.05733333333333333,0.04346666666666667,0.4342666666666667,0.09240000000000001,0.07586666666666667,0.06613333333333334,0.15693333333333334,0.0988,0.16933333333333334,0.10946666666666668,0.1112,0.06306666666666667,0.23546666666666666,0.34186666666666665,0.056799999999999996,0.14426666666666668,0.3024,0.09906666666666666,0.0428,0.08960000000000001,0.32413333333333333,0.04626666666666667,0.07266666666666667,0.34840000000000004,0.0688,0.30706666666666665,0.0972,0.2134666666666667,0.053066666666666665,0.5532,0.1056,0.4224,0.08666666666666667,0.15373333333333333,0.4322666666666667,0.058133333333333335,0.13226666666666667,0.38053333333333333,0.25920000000000004,0.3712,0.048933333333333336,0.1016,0.06906666666666668,0.316,0.09946666666666666,0.07959999999999999,0.558,0.06693333333333334,0.12013333333333333,0.2536,0.04253333333333333,0.09546666666666667,0.42506666666666665,0.05546666666666667,0.061066666666666665,0.09480000000000001,0.06933333333333333,0.3372,0.09626666666666668,0.07506666666666667,0.7998666666666667,0.5661333333333334,0.0408,0.07800000000000001,0.053200000000000004
Gemini 1.5 Flash-8B,0.04466666666666667,0.04666666666666667,0.048,0.04813333333333334,0.043333333333333335,0.05733333333333333,0.05866666666666667,0.036000000000000004,0.04786666666666667,0.03866666666666667,0.04106666666666667,0.0336,0.04733333333333334,0.07800000000000001,0.054666666666666676,0.08773333333333333,0.08666666666666667,0.062266666666666665,0.0432,0.07866666666666668,0.08693333333333333,0.056,0.14626666666666668,0.0784,0.06986666666666667,0.04266666666666667,0.04426666666666666,0.040400000000000005,0.08133333333333334,0.0684,0.06733333333333333,0.05333333333333334,0.04266666666666667,0.07306666666666667,0.04066666666666667,0.15573333333333333,0.0408,0.14186666666666667,0.06986666666666667,0.24359999999999998,0.18666666666666668,0.0456,0.054933333333333334,0.04973333333333333,0.0552,0.06586666666666667,0.0672,0.047733333333333336,0.04426666666666667,0.13253333333333334,0.04266666666666667,0.18773333333333334,0.0424,0.15306666666666668,0.05426666666666667,0.0476,0.06240000000000001,0.04346666666666667,0.04293333333333334,0.04266666666666667,0.056,0.045066666666666665,0.045066666666666665,0.06240000000000001,0.048400000000000006,0.04426666666666667,0.0832,0.18600000000000003,0.0444,0.05226666666666666,0.066,0.0516,0.06333333333333334,0.06333333333333334,0.046533333333333336,0.20226666666666668,0.06426666666666667,0.032266666666666666,0.5925333333333334,0.044800000000000006,0.07693333333333334,0.040933333333333335,0.07400000000000001,0.07986666666666667,0.05573333333333333,0.05546666666666667,0.0888,0.0436,0.07186666666666668,0.06813333333333334,0.04466666666666667,0.06493333333333333,0.041999999999999996,0.058800000000000005,0.05413333333333334,0.0628,0.0756,0.0756,0.08386666666666667,0.07226666666666666,0.05693333333333334,0.07373333333333333,0.056666666666666664,0.13533333333333333,0.043866666666666665,0.0432
Gemini 1.5 Pro,0.06,0.21693333333333334,0.29146666666666665,0.20959999999999998,0.06786666666666666,0.38386666666666663,0.05706666666666667,0.0812,0.1528,0.056133333333333334,0.048933333333333336,0.09146666666666667,0.07466666666666666,0.08666666666666667,0.5457333333333333,0.18466666666666667,0.158,0.09293333333333334,0.06960000000000001,0.38266666666666665,0.2004,0.06426666666666667,0.252,0.15293333333333334,0.08946666666666667,0.066,0.10653333333333334,0.08333333333333333,0.12373333333333332,0.09533333333333334,0.4172,0.07680000000000001,0.058800000000000005,0.3370666666666667,0.04266666666666667,0.5321333333333332,0.14906666666666665,0.8046666666666666,0.0756,0.5519999999999999,0.5908,0.0524,0.07706666666666667,0.2512,0.09013333333333334,0.09506666666666667,0.20373333333333332,0.09693333333333334,0.08,0.1824,0.08146666666666667,0.3696,0.0704,0.053733333333333334,0.0952,0.046533333333333336,0.11626666666666667,0.45119999999999993,0.07693333333333334,0.04266666666666667,0.30133333333333334,0.05506666666666667,0.05773333333333333,0.0444,0.26093333333333335,0.14826666666666666,0.3976,0.10533333333333333,0.2604,0.18933333333333333,0.1628,0.0892,0.5910666666666666,0.6153333333333333,0.1552,0.46093333333333336,0.5365333333333333,0.20653333333333335,0.8717333333333332,0.14733333333333334,0.4072,0.03933333333333334,0.36733333333333335,0.0644,0.21466666666666667,0.1676,0.15,0.6101333333333333,0.11346666666666666,0.09426666666666667,0.22319999999999998,0.09853333333333335,0.05959999999999999,0.3641333333333333,0.09533333333333334,0.07053333333333334,0.0956,0.09400000000000001,0.252,0.09373333333333334,0.29613333333333336,0.5439999999999999,0.23853333333333335,0.26439999999999997,0.07346666666666668,0.11066666666666668
Gemini 2.0 Flash,0.04253333333333333,0.09573333333333332,0.06293333333333333,0.08826666666666667,0.0432,0.12706666666666666,0.06466666666666668,0.0612,0.12493333333333333,0.046533333333333336,0.035866666666666665,0.041466666666666666,0.09293333333333333,0.06613333333333334,0.07239999999999999,0.10906666666666666,0.10813333333333333,0.0628,0.03986666666666667,0.1804,0.06706666666666666,0.04586666666666667,0.19333333333333333,0.12546666666666667,0.1516,0.0388,0.08360000000000001,0.03813333333333333,0.05413333333333334,0.04973333333333333,0.04546666666666667,0.07653333333333334,0.038,0.13906666666666667,0.03826666666666667,0.32066666666666666,0.05426666666666667,0.19853333333333334,0.04346666666666667,0.2024,0.1148,0.06493333333333333,0.0432,0.10533333333333333,0.05733333333333333,0.061333333333333344,0.0612,0.13053333333333333,0.1996,0.13533333333333333,0.049466666666666666,0.056266666666666666,0.1444,0.046533333333333336,0.03693333333333333,0.05506666666666667,0.07506666666666667,0.08133333333333334,0.04,0.04226666666666667,0.11653333333333334,0.06066666666666667,0.03613333333333333,0.044000000000000004,0.17133333333333334,0.10546666666666667,0.06626666666666668,0.038,0.051866666666666665,0.07626666666666666,0.14133333333333334,0.06213333333333333,0.11493333333333332,0.14906666666666665,0.0692,0.20653333333333335,0.0928,0.08506666666666667,0.5626666666666668,0.06933333333333333,0.10893333333333333,0.03506666666666666,0.07346666666666667,0.07733333333333334,0.05,0.0664,0.08839999999999999,0.09253333333333334,0.0548,0.07746666666666667,0.05986666666666667,0.04066666666666667,0.03666666666666667,0.10226666666666667,0.12613333333333335,0.04266666666666667,0.06613333333333334,0.04973333333333333,0.09253333333333334,0.05466666666666666,0.044,0.21893333333333337,0.09799999999999999,0.053733333333333334,0.04173333333333333,0.0492
