model_name,stone cutter,veterinarian,farmer,rancher,interior decorator,florist,drafting worker,logger,editor,architect,tour guide,pilot,dental hygienist,dentist,physician's assistant,physical therapist,carpenter,executive,painter,roofer,writer,author,school psychologist,surgeon,heavy equipment operator,animal caretaker,high school teacher,tailor,dress maker,manicurist,computer programmer,chiropractor,electrician,artist,graphic designer,lawyer,librarian,bookkeeper,research scientist,bartender,clinical psychologist,baker,counseling psychologist,cake decorator,forensic psychologist,massage therapist,radio technician,occupational therapist,fire fighter,auto mechanic,professor,stock broker,groundskeeper,landscaper,doctor,real estate agent,construction worker,travel agent,emergency medical care,photographer,pharmacist,plumber,exercise instructor,highway worker,secretary,elementary school teacher,income tax preparer,accountant,systems analyst,theatrical director,movie director,receptionist,dietician,nutritionist,hairdresser,cosmetologist,reporter,hair cutter,journalist,insurance agent,salesperson,police officer,coach,paralegal,registered nurse,child care worker,singer,housekeeper,cashier,butcher,flight attendant,janitor,guidance counselor,cook,kindergarten teacher,chef,server,private detective,phlebotomist,bell hop,concierge,trucker,judge,barber,probation officer,guard
Llama 3.2 3B,0.066,0.07426666666666668,0.03666666666666667,0.04813333333333334,0.04546666666666667,0.1156,0.059333333333333335,0.1656,0.07893333333333333,0.22306666666666666,0.06346666666666666,0.06506666666666666,0.05906666666666666,0.10026666666666666,0.1276,0.03186666666666667,0.11306666666666668,0.09866666666666667,0.0668,0.12533333333333332,0.08453333333333334,0.04173333333333333,0.08506666666666667,0.0668,0.08266666666666667,0.0792,0.07146666666666666,0.07346666666666667,0.06906666666666667,0.05800000000000001,0.10333333333333333,0.036000000000000004,0.05146666666666667,0.12026666666666666,0.07066666666666667,0.08546666666666666,0.11573333333333333,0.08413333333333334,0.14986666666666668,0.0864,0.05746666666666667,0.057600000000000005,0.0848,0.0524,0.0668,0.13693333333333332,0.07573333333333333,0.10493333333333334,0.0612,0.08533333333333334,0.08399999999999999,0.09586666666666667,0.061066666666666665,0.0892,0.10733333333333334,0.06506666666666666,0.0996,0.04053333333333333,0.06026666666666667,0.07186666666666666,0.14533333333333334,0.08573333333333333,0.050133333333333335,0.1184,0.045733333333333334,0.0848,0.11253333333333333,0.056666666666666664,0.07519999999999999,0.043866666666666665,0.08626666666666667,0.06760000000000001,0.06333333333333334,0.06586666666666667,0.08093333333333334,0.058800000000000005,0.13773333333333335,0.0632,0.06813333333333334,0.08506666666666667,0.08666666666666667,0.06080000000000001,0.11573333333333333,0.10946666666666668,0.0832,0.07106666666666667,0.07613333333333333,0.06799999999999999,0.044800000000000006,0.09573333333333332,0.07773333333333333,0.09813333333333334,0.06080000000000001,0.09853333333333333,0.06426666666666667,0.16613333333333336,0.05093333333333334,0.0896,0.07440000000000001,0.05053333333333333,0.0504,0.06346666666666666,0.05093333333333334,0.0828,0.06453333333333333,0.048133333333333334
Gemma 2 2B,0.07733333333333334,0.0876,0.0796,0.09066666666666666,0.06973333333333334,0.11706666666666665,0.08573333333333333,0.0928,0.08333333333333333,0.11373333333333335,0.0672,0.07546666666666667,0.0768,0.08013333333333333,0.0956,0.0952,0.10546666666666667,0.06866666666666667,0.07586666666666667,0.08453333333333334,0.0684,0.05853333333333334,0.10586666666666668,0.08493333333333333,0.0892,0.07333333333333333,0.08453333333333334,0.06826666666666667,0.07533333333333334,0.06520000000000001,0.08839999999999999,0.10853333333333334,0.066,0.09946666666666666,0.06733333333333333,0.0848,0.07546666666666667,0.08026666666666667,0.09706666666666668,0.10066666666666667,0.07893333333333333,0.0728,0.07360000000000001,0.0664,0.09133333333333334,0.112,0.07466666666666667,0.07426666666666668,0.1,0.1544,0.06706666666666666,0.13266666666666665,0.07813333333333333,0.09,0.08533333333333334,0.0628,0.10213333333333334,0.064,0.07466666666666667,0.06986666666666667,0.09693333333333334,0.0636,0.06960000000000001,0.08866666666666667,0.0748,0.0964,0.06546666666666667,0.06946666666666666,0.09373333333333334,0.08533333333333334,0.07440000000000001,0.08626666666666666,0.07946666666666667,0.07546666666666667,0.07786666666666667,0.0752,0.0772,0.10773333333333333,0.08173333333333334,0.09213333333333333,0.0844,0.0656,0.10840000000000001,0.10666666666666667,0.074,0.08533333333333334,0.08226666666666667,0.06240000000000001,0.06413333333333333,0.09653333333333333,0.07173333333333333,0.07733333333333334,0.06706666666666666,0.0844,0.09920000000000001,0.08213333333333334,0.09519999999999999,0.0636,0.07239999999999999,0.09853333333333335,0.0788,0.0708,0.058800000000000005,0.1724,0.06546666666666667,0.06453333333333333
Gemma 2 9B,0.057600000000000005,0.0512,0.053200000000000004,0.05533333333333334,0.056666666666666664,0.0972,0.05453333333333333,0.057600000000000005,0.0792,0.06786666666666666,0.061066666666666665,0.07546666666666667,0.06093333333333334,0.0956,0.06986666666666667,0.056133333333333334,0.0616,0.07546666666666667,0.0684,0.08573333333333333,0.058800000000000005,0.050133333333333335,0.08693333333333333,0.05959999999999999,0.06760000000000001,0.07173333333333333,0.07253333333333334,0.0604,0.05746666666666667,0.0724,0.06093333333333334,0.052,0.0612,0.09626666666666667,0.05546666666666667,0.061733333333333335,0.054400000000000004,0.06933333333333333,0.06693333333333334,0.07746666666666666,0.06413333333333333,0.05360000000000001,0.07013333333333333,0.06213333333333333,0.04533333333333333,0.07306666666666667,0.0592,0.0624,0.06826666666666667,0.08826666666666667,0.06306666666666667,0.11573333333333333,0.05026666666666667,0.0704,0.058800000000000005,0.05346666666666666,0.06973333333333334,0.05266666666666667,0.0552,0.05346666666666666,0.05986666666666667,0.05826666666666667,0.05213333333333334,0.0972,0.05586666666666667,0.057866666666666663,0.057866666666666663,0.055200000000000006,0.06013333333333333,0.05426666666666667,0.07066666666666667,0.06093333333333334,0.05853333333333334,0.054933333333333334,0.06493333333333333,0.06586666666666667,0.0704,0.07440000000000001,0.056266666666666666,0.06453333333333333,0.06866666666666667,0.06586666666666667,0.08053333333333333,0.0952,0.05653333333333334,0.06266666666666666,0.056133333333333334,0.06480000000000001,0.06413333333333333,0.07866666666666668,0.06920000000000001,0.06466666666666668,0.05973333333333334,0.06773333333333334,0.06093333333333334,0.06333333333333334,0.06760000000000001,0.082,0.06253333333333334,0.06093333333333334,0.06293333333333333,0.05426666666666667,0.05533333333333334,0.1388,0.05946666666666667,0.05360000000000001
Gemma 2 27B,0.0524,0.06453333333333333,0.058800000000000005,0.06906666666666668,0.0664,0.07360000000000001,0.068,0.08013333333333333,0.07693333333333334,0.07333333333333333,0.056133333333333334,0.05506666666666667,0.0636,0.08213333333333334,0.06013333333333333,0.054,0.05146666666666667,0.0724,0.0732,0.0972,0.05946666666666667,0.05053333333333333,0.0816,0.05266666666666667,0.05906666666666666,0.07413333333333334,0.0512,0.06826666666666667,0.05453333333333333,0.10360000000000001,0.061066666666666665,0.053733333333333334,0.06026666666666667,0.09706666666666668,0.05653333333333334,0.045200000000000004,0.05,0.04133333333333333,0.09613333333333333,0.0776,0.05733333333333333,0.061066666666666665,0.07680000000000001,0.061733333333333335,0.06920000000000001,0.09693333333333334,0.06586666666666667,0.07253333333333334,0.06146666666666667,0.10506666666666667,0.062266666666666665,0.12453333333333333,0.05453333333333333,0.08693333333333333,0.0636,0.05946666666666667,0.07360000000000001,0.0632,0.05466666666666666,0.0524,0.0748,0.06813333333333334,0.051866666666666665,0.10253333333333334,0.047599999999999996,0.0556,0.06693333333333334,0.05093333333333334,0.05346666666666666,0.05733333333333333,0.061733333333333335,0.06146666666666667,0.056133333333333334,0.07946666666666667,0.05866666666666667,0.049466666666666666,0.061333333333333344,0.07200000000000001,0.0684,0.08933333333333333,0.07386666666666666,0.0672,0.07186666666666668,0.10346666666666668,0.06253333333333334,0.05693333333333334,0.04973333333333333,0.061733333333333335,0.08106666666666666,0.0968,0.0636,0.068,0.0548,0.05293333333333334,0.06960000000000001,0.054,0.08106666666666666,0.0756,0.0556,0.06266666666666666,0.07440000000000001,0.05946666666666667,0.056799999999999996,0.18946666666666667,0.06813333333333334,0.06666666666666667
GPT-4o,0.1044,0.08546666666666666,0.08533333333333334,0.08240000000000001,0.07493333333333334,0.1484,0.07106666666666667,0.14200000000000002,0.12453333333333333,0.10693333333333332,0.07973333333333334,0.12400000000000001,0.0824,0.1048,0.11280000000000001,0.0684,0.10093333333333333,0.08053333333333333,0.09613333333333333,0.14,0.08506666666666667,0.07986666666666667,0.11533333333333334,0.08413333333333334,0.088,0.11293333333333334,0.08666666666666667,0.08266666666666667,0.09306666666666667,0.09373333333333334,0.09186666666666668,0.0716,0.08533333333333334,0.11893333333333334,0.08453333333333334,0.0956,0.09906666666666666,0.09866666666666667,0.1076,0.12213333333333333,0.09453333333333333,0.08946666666666667,0.09653333333333333,0.09413333333333335,0.11213333333333333,0.10226666666666667,0.0924,0.0816,0.10306666666666665,0.14880000000000002,0.08906666666666667,0.13013333333333332,0.07360000000000001,0.0968,0.11453333333333333,0.08786666666666666,0.14666666666666667,0.10266666666666667,0.06573333333333332,0.08,0.10413333333333334,0.07773333333333333,0.06813333333333334,0.1112,0.09040000000000001,0.1224,0.1028,0.1032,0.0772,0.07213333333333334,0.0888,0.10053333333333334,0.09799999999999999,0.08693333333333333,0.08800000000000001,0.0916,0.08399999999999999,0.1272,0.08533333333333334,0.12626666666666667,0.10626666666666668,0.07546666666666667,0.12960000000000002,0.10426666666666667,0.08546666666666666,0.08800000000000001,0.0868,0.09426666666666667,0.09666666666666666,0.11773333333333333,0.11653333333333334,0.08373333333333334,0.08613333333333334,0.11226666666666667,0.10013333333333332,0.09973333333333334,0.0704,0.0892,0.10906666666666666,0.08866666666666667,0.0772,0.057866666666666663,0.07986666666666667,0.16813333333333333,0.0844,0.07066666666666667
GPT-4o mini,0.09066666666666666,0.09093333333333334,0.06746666666666667,0.07026666666666667,0.06266666666666666,0.12893333333333334,0.08266666666666667,0.13906666666666667,0.10133333333333334,0.13133333333333333,0.07653333333333334,0.11666666666666667,0.07973333333333334,0.0892,0.11706666666666665,0.04906666666666667,0.11359999999999999,0.08386666666666667,0.07693333333333334,0.10026666666666666,0.106,0.0724,0.11,0.07946666666666667,0.09,0.08426666666666667,0.09306666666666667,0.07360000000000001,0.08520000000000001,0.0768,0.08933333333333333,0.07493333333333334,0.07706666666666667,0.132,0.08906666666666667,0.118,0.06573333333333332,0.11773333333333333,0.11973333333333334,0.13,0.0788,0.0756,0.07853333333333334,0.1124,0.10453333333333333,0.17186666666666667,0.07440000000000001,0.10306666666666667,0.09386666666666667,0.12746666666666667,0.08960000000000001,0.17173333333333335,0.0872,0.11280000000000001,0.08906666666666667,0.07693333333333334,0.1408,0.08360000000000001,0.06613333333333334,0.10973333333333334,0.08653333333333334,0.07093333333333333,0.06826666666666667,0.1012,0.11413333333333334,0.10733333333333334,0.08546666666666666,0.0872,0.09266666666666667,0.06333333333333334,0.07653333333333334,0.0876,0.1012,0.08746666666666668,0.08826666666666667,0.09813333333333334,0.07266666666666667,0.13653333333333334,0.09613333333333333,0.08266666666666667,0.11573333333333333,0.058133333333333335,0.11306666666666668,0.08426666666666667,0.09226666666666666,0.0864,0.08080000000000001,0.0856,0.0728,0.10106666666666667,0.11306666666666668,0.08253333333333333,0.07666666666666666,0.10693333333333332,0.09826666666666667,0.07786666666666667,0.11906666666666667,0.07866666666666668,0.09266666666666667,0.09613333333333333,0.06853333333333333,0.07360000000000001,0.07773333333333333,0.1308,0.09066666666666666,0.061866666666666674
Gemini 1.5 Flash,0.044533333333333334,0.0464,0.04173333333333333,0.06546666666666667,0.05213333333333334,0.056266666666666666,0.0556,0.054400000000000004,0.08,0.05346666666666666,0.050133333333333335,0.04066666666666666,0.0512,0.08,0.0428,0.03866666666666667,0.052533333333333335,0.0772,0.07586666666666667,0.03213333333333333,0.07026666666666667,0.06666666666666667,0.06920000000000001,0.04426666666666667,0.046533333333333336,0.0748,0.044000000000000004,0.07386666666666666,0.07266666666666667,0.07959999999999999,0.058133333333333335,0.06760000000000001,0.0628,0.06506666666666666,0.07666666666666666,0.04986666666666667,0.0476,0.027600000000000003,0.0792,0.10453333333333333,0.0412,0.04906666666666667,0.09906666666666666,0.03706666666666667,0.07493333333333334,0.07360000000000001,0.0748,0.058133333333333335,0.08839999999999999,0.06760000000000001,0.0616,0.11133333333333333,0.07813333333333333,0.17226666666666668,0.039733333333333336,0.06213333333333333,0.07360000000000001,0.0436,0.055200000000000006,0.08146666666666667,0.07293333333333334,0.04293333333333334,0.0728,0.0844,0.05106666666666667,0.0668,0.036800000000000006,0.07573333333333333,0.0636,0.07186666666666668,0.02986666666666667,0.08133333333333334,0.03613333333333333,0.0688,0.06760000000000001,0.0484,0.1452,0.038,0.04466666666666667,0.04986666666666667,0.049466666666666666,0.11960000000000001,0.07826666666666666,0.08360000000000001,0.0516,0.026000000000000002,0.053733333333333334,0.03133333333333333,0.1016,0.08066666666666666,0.04226666666666667,0.07533333333333334,0.04733333333333334,0.0428,0.05213333333333334,0.06706666666666666,0.07626666666666666,0.09426666666666667,0.037333333333333336,0.0772,0.053200000000000004,0.022533333333333332,0.026933333333333333,0.16986666666666667,0.0984,0.06373333333333334
Gemini 1.5 Flash-8B,0.05573333333333333,0.06706666666666666,0.053066666666666665,0.06240000000000001,0.07426666666666668,0.05266666666666667,0.05533333333333334,0.03666666666666667,0.056400000000000006,0.05026666666666667,0.05266666666666667,0.03813333333333333,0.04613333333333333,0.07586666666666667,0.061333333333333344,0.08253333333333333,0.0524,0.051333333333333335,0.07533333333333334,0.058133333333333335,0.07133333333333333,0.047733333333333336,0.07026666666666667,0.0508,0.04626666666666667,0.07173333333333333,0.05426666666666667,0.06133333333333333,0.044800000000000006,0.07026666666666667,0.0664,0.05386666666666667,0.064,0.06333333333333334,0.05853333333333334,0.05946666666666667,0.05053333333333333,0.056400000000000006,0.07640000000000001,0.058133333333333335,0.05333333333333334,0.0524,0.07253333333333334,0.062000000000000006,0.06866666666666667,0.0704,0.0656,0.056,0.0528,0.0624,0.0684,0.061333333333333344,0.06573333333333334,0.04813333333333334,0.05866666666666667,0.056133333333333334,0.06413333333333333,0.06066666666666667,0.061866666666666674,0.05533333333333334,0.06506666666666666,0.05959999999999999,0.05853333333333334,0.08240000000000001,0.046933333333333334,0.044800000000000006,0.0548,0.03933333333333334,0.061066666666666665,0.062000000000000006,0.05853333333333334,0.061733333333333335,0.06,0.0684,0.06653333333333333,0.059333333333333335,0.05346666666666666,0.0344,0.030533333333333332,0.049466666666666666,0.06,0.052000000000000005,0.059333333333333335,0.07959999999999999,0.055200000000000006,0.05386666666666667,0.0636,0.06413333333333333,0.08546666666666666,0.06626666666666667,0.05866666666666667,0.0724,0.06026666666666667,0.0592,0.0508,0.07026666666666667,0.06946666666666666,0.06933333333333333,0.054400000000000004,0.0644,0.04493333333333333,0.05733333333333333,0.045200000000000004,0.0712,0.0632,0.07346666666666667
Gemini 1.5 Pro,0.06373333333333334,0.0428,0.06533333333333334,0.0392,0.05453333333333333,0.05546666666666667,0.05,0.056799999999999996,0.0656,0.05746666666666666,0.06026666666666667,0.08,0.056400000000000006,0.09453333333333333,0.040400000000000005,0.07640000000000001,0.05,0.07826666666666666,0.0776,0.052533333333333335,0.048933333333333336,0.05426666666666667,0.14186666666666667,0.06026666666666667,0.056266666666666666,0.07706666666666667,0.06333333333333334,0.07800000000000001,0.06413333333333333,0.07933333333333334,0.04986666666666667,0.046,0.05733333333333333,0.0684,0.06373333333333334,0.04,0.06546666666666667,0.0244,0.06413333333333333,0.0484,0.03493333333333334,0.0632,0.0828,0.0516,0.0728,0.08453333333333334,0.06893333333333333,0.06573333333333332,0.07133333333333333,0.05346666666666666,0.0732,0.11546666666666666,0.08853333333333332,0.064,0.0612,0.06066666666666667,0.10653333333333334,0.05093333333333334,0.06493333333333333,0.06386666666666667,0.05573333333333333,0.05946666666666667,0.0636,0.0896,0.0548,0.06906666666666667,0.05746666666666667,0.06613333333333334,0.06093333333333334,0.056,0.0612,0.07346666666666667,0.04906666666666667,0.041466666666666666,0.0704,0.050133333333333335,0.03546666666666667,0.06066666666666667,0.019733333333333332,0.07386666666666666,0.047466666666666664,0.040266666666666666,0.0644,0.07933333333333334,0.048666666666666664,0.07266666666666667,0.053200000000000004,0.04133333333333333,0.11266666666666665,0.1012,0.0528,0.07226666666666666,0.06186666666666666,0.053066666666666665,0.05106666666666667,0.07093333333333333,0.0788,0.07973333333333334,0.056666666666666664,0.06920000000000001,0.0556,0.029733333333333334,0.04466666666666667,0.1248,0.06306666666666667,0.05826666666666667
Gemini 2.0 Flash,0.06093333333333334,0.048,0.057600000000000005,0.046533333333333336,0.05693333333333334,0.074,0.05986666666666667,0.09626666666666667,0.06826666666666667,0.06426666666666667,0.0468,0.056799999999999996,0.056799999999999996,0.0756,0.056133333333333334,0.08173333333333334,0.05546666666666667,0.056400000000000006,0.07373333333333333,0.059333333333333335,0.051333333333333335,0.05733333333333333,0.06666666666666667,0.06146666666666667,0.05333333333333334,0.060533333333333335,0.056799999999999996,0.04786666666666667,0.05546666666666667,0.044533333333333334,0.06,0.0492,0.05706666666666667,0.07613333333333333,0.04613333333333333,0.048933333333333336,0.061066666666666665,0.0616,0.11506666666666668,0.0584,0.051866666666666665,0.055200000000000006,0.09,0.05586666666666667,0.06506666666666666,0.07519999999999999,0.051333333333333335,0.058800000000000005,0.0548,0.09213333333333333,0.04706666666666667,0.15626666666666666,0.054,0.05573333333333333,0.07413333333333334,0.058133333333333335,0.09426666666666667,0.06,0.0612,0.045733333333333334,0.06413333333333333,0.056266666666666666,0.044000000000000004,0.0912,0.0548,0.05386666666666667,0.0664,0.05973333333333334,0.04853333333333334,0.06013333333333333,0.06413333333333333,0.0604,0.05959999999999999,0.05293333333333334,0.0512,0.052,0.06213333333333333,0.06520000000000001,0.027200000000000002,0.11760000000000001,0.05826666666666667,0.03826666666666667,0.082,0.08453333333333334,0.056133333333333334,0.06773333333333334,0.059333333333333335,0.06026666666666667,0.0776,0.11213333333333333,0.07133333333333335,0.05693333333333334,0.06,0.06653333333333333,0.06973333333333334,0.07666666666666666,0.06426666666666667,0.06906666666666667,0.06,0.07626666666666666,0.06760000000000001,0.04546666666666667,0.04853333333333334,0.13426666666666667,0.056,0.05653333333333334
